original,uniformat,equivalent
"Small, John P.",John P. Small,"['Small, John P.']"
John P. Sophocleus,John P. Sophocleus,['John P. Sophocleus']
John P. Troxell,John P. Troxell,['John P. Troxell']
John P. Weyant,John P. Weyant,"['John P. Weyant', 'Weyant, John P']"
John Papp,John Papp,['John Papp']
"Paul Broussard, John",John Paul Broussard,"['Paul Broussard, John']"
John Paulus,John Paulus,['John Paulus']
"Pepper, John",John Pepper,"['Pepper, John', 'John Pepper', 'John V. Pepper']"
"Percival, John",John Percival,"['Percival, John']"
John Perrin,John Perrin,"['John Perrin', 'Perrin, J. R.']"
John Perry Miller,John Perry Miller,['John Perry Miller']
"Chateau, John Peter D.",John Peter D. Chateau,"['Chateau, John Peter D.']"
John Philip Wernette,John Philip Wernette,['John Philip Wernette']
"Stein, John Picard",John Picard Stein,"['Stein, John Picard', 'Stein, J.L.']"
"Pippenger, John",John Pippenger,"['Pippenger, John', 'Pippenger, John E']"
"Playforth, John",John Playforth,"['Playforth, John']"
"Pomery, John",John Pomery,"['Pomery, John']"
"Pound, John",John Pound,"['Pound, John']"
"Quiggin, John",John Quiggin,"['Quiggin, John', 'John Quiggin', 'Quiggin, J.']"
"Beddington, John R",John R Beddington,"['Beddington, John R']"
"Brick, John R",John R Brick,"['Brick, John R']"
"Coleman, John R",John R Coleman,"['Coleman, John R']"
"Ezzell, John R",John R Ezzell,"['Ezzell, John R']"
"Grinyer, John R",John R Grinyer,"['Grinyer, John R']"
"Hanson, John R, III",John R Hanson,"['Hanson, John R, III', 'Hanson, John R, II']"
"Harris, John R",John R Harris,"['Harris, John R']"
"Lindvall, John R",John R Lindvall,"['Lindvall, John R']"
"Page, John R",John R Page,"['Page, John R']"
"Powers, John R",John R Powers,"['Powers, John R']"
"Presley, John R",John R Presley,"['Presley, John R']"
"Schroeter, John R",John R Schroeter,"['Schroeter, John R']"
"Sorenson, John R",John R Sorenson,"['Sorenson, John R', 'Sorenson, John R.']"
"Sparkes, John R",John R Sparkes,"['Sparkes, John R']"
"Stoll, John R",John R Stoll,"['Stoll, John R']"
"Wagner, John R",John R Wagner,"['Wagner, John R', 'Wagner, J.']"
"Wolfe, John R",John R Wolfe,"['Wolfe, John R']"
"Birge, John R.",John R. Birge,"['Birge, John R.']"
"Boatright, John R.",John R. Boatright,"['Boatright, John R.']"
John R. Cable,John R. Cable,"['John R. Cable', 'Cable, John R', 'Cable, John']"
John R. Carter,John R. Carter,"['John R. Carter', 'Carter, John R']"
John R. Conlon,John R. Conlon,"['John R. Conlon', 'Conlon, John R.']"
"Doyle, John R.",John R. Doyle,"['Doyle, John R.']"
John R. Graham,John R. Graham,"['John R. Graham', 'Graham, John R.']"
John R. Hamman,John R. Hamman,['John R. Hamman']
"Karlik, John R.",John R. Karlik,"['Karlik, John R.']"
John R. Kreidle,John R. Kreidle,['John R. Kreidle']
John R. Lott,John R. Lott,"['John R. Lott', 'Lott, John R, Jr']"
"Lott Jr., John R.",John R. Lott Jr.,"['Lott Jr., John R.']"
"Hand, John R. M.",John R. M. Hand,"['Hand, John R. M.', 'Hand, John R M']"
John R. Meyer,John R. Meyer,"['John R. Meyer', 'Meyer, John R']"
John R. Moroney,John R. Moroney,"['John R. Moroney', 'Moroney, John R', 'Moroney, J R']"
John R. Nofsinger,John R. Nofsinger,"['John R. Nofsinger', 'Nofsinger, John', 'Nofsinger, John R.']"
John R. O'Brien,John R. O'Brien,"[""John R. O'Brien"", ""O'Brien, John""]"
"Penrod, John R.",John R. Penrod,"['Penrod, John R.']"
John R. Robinson,John R. Robinson,['John R. Robinson']
"Wingender, John R.",John R. Wingender,"['Wingender, John R.']"
John R. Woodley,John R. Woodley,['John R. Woodley']
"Raisian, John",John Raisian,"['Raisian, John']"
"Rand, John",John Rand,"['Rand, John']"
John Rapoport,John Rapoport,['John Rapoport']
"Rawls, John",John Rawls,"['Rawls, John', 'John Rawls']"
John Rehbeck,John Rehbeck,['John Rehbeck']
"Reilly, John",John Reilly,"['Reilly, John', 'John M. Reilly']"
"Rhodes, John",John Rhodes,"['Rhodes, John']"
"Ries, John",John Ries,"['Ries, John', 'John Ries']"
"Riew, John",John Riew,"['Riew, John']"
John Robert Pike,John Robert Pike,['John Robert Pike']
John Roberts,John Roberts,"['John Roberts', 'John M. Roberts', 'Roberts, John M', 'Roberts, John M.', 'Roberts, John']"
"Robst, John",John Robst,"['Robst, John']"
John Romalis,John Romalis,['John Romalis']
"Rowse, John",John Rowse,"['Rowse, John']"
"Ruggiero, John",John Ruggiero,"['Ruggiero, John']"
"Rumsey, John",John Rumsey,"['Rumsey, John']"
"Rutledge, John",John Rutledge,"['Rutledge, John']"
"Austin, John S",John S Austin,"['Austin, John S']"
"Baskin, John S",John S Baskin,"['Baskin, John S']"
"Bildersee, John S",John S Bildersee,"['Bildersee, John S']"
"Cubbin, John S",John S Cubbin,"['Cubbin, John S', 'Cubbin, John']"
"Earle, John S",John S Earle,"['Earle, John S', 'John S. Earle', 'Earle, John S.']"
"Hammond, John S, III",John S Hammond,"['Hammond, John S, III']"
"Heywood, John S",John S Heywood,"['Heywood, John S', 'John S. Heywood', 'Heywood, John S.']"
"Hodgson, John S",John S Hodgson,"['Hodgson, John S', 'John S. Hodgson']"
"Howe, John S",John S Howe,"['Howe, John S', 'Howe, John S.']"
"Hughes, John S",John S Hughes,"['Hughes, John S', 'Hughes, John S.']"
"Lapp, John S",John S Lapp,"['Lapp, John S', 'Lapp, John S.']"
"Morton, John S",John S Morton,"['Morton, John S']"
"Oh, John S",John S Oh,"['Oh, John S']"
"Pettengill, John S",John S Pettengill,"['Pettengill, John S', 'John S. Pettengill', 'John Pettengill']"
"Strong, John S",John S Strong,"['Strong, John S']"
"Ying, John S",John S Ying,"['Ying, John S', 'John S. Ying', 'Ying, John S.']"
"Akin, John S.",John S. Akin,"['Akin, John S.', 'Akin, John S']"
John S. Chipman,John S. Chipman,"['John S. Chipman', 'Chipman, John S.', 'J. S. Chipman', 'Chipman, John S']"
John S. Chitj,John S. Chitj,['John S. Chitj']
"Dodgson, John S.",John S. Dodgson,"['Dodgson, John S.', 'Dodgson, J S']"
John S. Flemming,John S. Flemming,"['John S. Flemming', 'Flemming, J. S.', 'Flemming, John S.', 'Flemming, John S', 'Flemming, J S', 'Flemming, John', 'J. S. Flemming']"
John S. Greenlees,John S. Greenlees,"['John S. Greenlees', 'Greenlees, John S']"
John S. Hekman,John S. Hekman,"['John S. Hekman', 'Hekman, John S']"
"Irons, John S.",John S. Irons,"['Irons, John S.']"
"Jahera, John S.",John S. Jahera,"['Jahera, John S.']"
"Jahera Jr., John S.",John S. Jahera Jr.,"['Jahera Jr., John S.']"
John S. Lane,John S. Lane,"['John S. Lane', 'Lane, John S']"
"Walter, John S.",John S. Walter,"['Walter, John S.']"
John S. de Beers,John S. de Beers,['John S. de Beers']
John Sabelhaus,John Sabelhaus,"['John Sabelhaus', 'Sabelhaus, John']"
John Sagan,John Sagan,['John Sagan']
John Schirm,John Schirm,['John Schirm']
"Sedunov, John",John Sedunov,"['Sedunov, John']"
John Sender,John Sender,['John Sender']
John Shea,John Shea,"['John Shea', 'Shea, John']"
"Sheahan, John",John Sheahan,"['Sheahan, John', 'John Sheahan']"
John Shepard Wiley,John Shepard Wiley,"['John Shepard Wiley', 'Wiley, John S, Jr']"
John Shim,John Shim,['John Shim']
"Shorey, John",John Shorey,"['Shorey, John']"
"Silvia, John",John Silvia,"['Silvia, John']"
John Simon,John Simon,"['John Simon', 'Simon, John']"
"Spraggon, John",John Spraggon,"['Spraggon, John']"
John Spraos,John Spraos,"['John Spraos', 'Spraos, John']"
"Stachurski, John",John Stachurski,"['Stachurski, John', 'John Stachurski']"
John Strauss,John Strauss,"['John Strauss', 'Strauss, John']"
"Swieringa, John",John Swieringa,"['Swieringa, John']"
"Addison, John T",John T Addison,"['Addison, John T', 'John T. Addison']"
"Bart, John T",John T Bart,"['Bart, John T']"
"Boorman, John T",John T Boorman,"['Boorman, John T']"
"Cummings, John T",John T Cummings,"['Cummings, John T', 'John Cummings']"
"Scott, John T",John T Scott,"['Scott, John T', 'Scott, John T.', 'John T. Scott', 'Scott, John T, Jr']"
"Sennetti, John T",John T Sennetti,"['Sennetti, John T']"
John T. Croteau,John T. Croteau,['John T. Croteau']
"Cuddington, John T.",John T. Cuddington,"['Cuddington, John T.', 'John T. Cuddington', 'Cuddington, John T']"
"Dalton, John T.",John T. Dalton,"['Dalton, John T.']"
John T. Dunlop,John T. Dunlop,['John T. Dunlop']
John T. Hackett,John T. Hackett,['John T. Hackett']
"Rose, John T.",John T. Rose,"['Rose, John T.', 'Rose, John T']"
John T. Scruggs,John T. Scruggs,['John T. Scruggs']
"Warner, John T.",John T. Warner,"['Warner, John T.', 'Warner, John T', 'John T. Warner']"
John T. Wenders,John T. Wenders,"['John T. Wenders', 'Wenders, John T']"
John T. Wheeler,John T. Wheeler,['John T. Wheeler']
John Tepper Marlin,John Tepper Marlin,['John Tepper Marlin']
"Terninko, John",John Terninko,"['Terninko, John']"
"Thanassoulis, John",John Thanassoulis,"['Thanassoulis, John', 'John Thanassoulis']"
"Thoburn, John",John Thoburn,"['Thoburn, John']"
John Thomas Burke,John Thomas Burke,['John Thomas Burke']
"Thornton, John",John Thornton,"['Thornton, John', 'Thornton, John Jr.']"
"Tooby, John",John Tooby,"['Tooby, John']"
"Toye, John",John Toye,"['Toye, John']"
John Treble,John Treble,"['John Treble', 'John G. Treble', 'Treble, John G']"
"Trijonis, John",John Trijonis,"['Trijonis, John']"
"Trimble, John",John Trimble,"['Trimble, John']"
John Tschirhart,John Tschirhart,"['John Tschirhart', 'Tschirhart, John T', 'Tschirhart, John T.', 'Tschirhart, John']"
"Farley, John U.",John U. Farley,"['Farley, John U.']"
John U. Nef,John U. Nef,['John U. Nef']
"Umbeck, John",John Umbeck,"['Umbeck, John']"
"Krutilla, John V",John V Krutilla,"['Krutilla, John V', 'John V. Krutilla']"
John V. Duca,John V. Duca,"['John V. Duca', 'Duca, John V.']"
John V. Farwell,John V. Farwell,['John V. Farwell']
John V. Hogan,John V. Hogan,['John V. Hogan']
"Leahy, John V.",John V. Leahy,"['Leahy, John V.', 'John Leahy', 'Leahy, John', 'John V. Leahy']"
John V. Spielmans,John V. Spielmans,['John V. Spielmans']
John V. Winters,John V. Winters,['John V. Winters']
"Nye, John V.C.",John V.C. Nye,"['Nye, John V.C.']"
John Van Reenen,John Van Reenen,"['John Van Reenen', 'Van Reenen, John', 'John Reenen']"
John VanReenen,John VanReenen,['John VanReenen']
John Vanderkamp,John Vanderkamp,"['John Vanderkamp', 'Vanderkamp, J.', 'Vanderkamp, John']"
"Vernon, John",John Vernon,"['Vernon, John', 'Vernon, John M', 'John M. Vernon']"
John Vickers,John Vickers,"['John Vickers', 'Vickers, John']"
"Budd, John W",John W Budd,"['Budd, John W', 'John W. Budd']"
"Freebairn, John W",John W Freebairn,"['Freebairn, John W']"
"Galbraith, John W",John W Galbraith,"['Galbraith, John W', 'Galbraith, John W.']"
"Winder, John W L",John W L Winder,"['Winder, John W L']"
"Mayo, John W",John W Mayo,"['Mayo, John W']"
"Mellor, John W",John W Mellor,"['Mellor, John W', 'Mellor, John W.']"
"O'Hagan, John W",John W O'Hagan,"[""O'Hagan, John W""]"
"Peavy, John W, III",John W Peavy,"['Peavy, John W, III']"
"Posnett, John W",John W Posnett,"['Posnett, John W', 'Posnett, John']"
"Reid, John W",John W Reid,"['Reid, John W']"
John W. Bay,John W. Bay,['John W. Bay']
John W. Bowyer Jr.,John W. Bowyer Jr.,['John W. Bowyer Jr.']
"Byrd, John W.",John W. Byrd,"['Byrd, John W.', 'Byrd, John']"
John W. Cooney,John W. Cooney,"['John W. Cooney', 'Cooney, John W.', 'Cooney, John', 'Cooney, John W']"
"Davis, John W.",John W. Davis,"['Davis, John W.']"
John W. Dickhaut,John W. Dickhaut,"['John W. Dickhaut', 'Dickhaut, John, et al']"
"Goodell, John W.",John W. Goodell,"['Goodell, John W.']"
"Graham, John W.",John W. Graham,"['Graham, John W.', 'John W. Graham', 'Graham, John W']"
"Keating, John W.",John W. Keating,"['Keating, John W.']"
"Kendrick, John W.",John W. Kendrick,"['Kendrick, John W.']"
"Kensinger, John W.",John W. Kensinger,"['Kensinger, John W.']"
"Mamer, John W.",John W. Mamer,"['Mamer, John W.']"
"Maxwell, John W.",John W. Maxwell,"['Maxwell, John W.']"
John W. McArthur,John W. McArthur,"['John W. McArthur', 'McArthur, John W.']"
John W. Pratt,John W. Pratt,"['John W. Pratt', 'Pratt, John W.', 'Pratt, John W']"
John W. R. Phillips,John W. R. Phillips,"['John W. R. Phillips', 'John Burton Phillips']"
John W. Ruser,John W. Ruser,"['John W. Ruser', 'Ruser, John W']"
"Sewell, John W.",John W. Sewell,"['Sewell, John W.']"
"Wagster, John",John Wagster,"['Wagster, John', 'Wagster, John D']"
John Wakeman-Linn,John Wakeman-Linn,['John Wakeman-Linn']
John Walgreen,John Walgreen,['John Walgreen']
John Ward,John Ward,['John Ward']
"Watson, John",John Watson,"['Watson, John']"
"Weiss, John",John Weiss,"['Weiss, John']"
"Wells, John",John Wells,"['Wells, John']"
John Wesson,John Wesson,['John Wesson']
"Whalley, John",John Whalley,"['Whalley, John', 'John Whalley']"
"Hatfield, John William",John William Hatfield,"['Hatfield, John William', 'John William Hatfield']"
John William Simpson,John William Simpson,"['John William Simpson', 'John Simpson']"
John Williamson,John Williamson,"['John Williamson', 'J. Peter Williamson', 'Williamson, John']"
John Wilson Million,John Wilson Million,['John Wilson Million']
"Wooders, John",John Wooders,"['Wooders, John', 'John Wooders']"
John Xu Zheng,John Xu Zheng,['John Xu Zheng']
"Barry, John Y",John Y Barry,"['Barry, John Y']"
"Campbell, John Y",John Y Campbell,"['Campbell, John Y', 'John Campbell', 'John Y. Campbell', 'Campbell, John Y.']"
John Y. Zhu,John Y. Zhu,['John Y. Zhu']
"Yinger, John",John Yinger,"['Yinger, John', 'John Yinger']"
"Young, John",John Young,"['Young, John', 'Young, John E.']"
"Drabicki, John Z.",John Z. Drabicki,"['Drabicki, John Z.']"
John Z. Smith,John Z. Smith,['John Z. Smith']
"Zedella, John",John Zedella,"['Zedella, John']"
"sutton, John",John sutton,"['sutton, John']"
John van Reenen,John van Reenen,"['John van Reenen', 'John Reenen']"
"van den Berghe, John",John van den Berghe,"['van den Berghe, John']"
"Chateau, John-Peter D.",John-Peter D. Chateau,"['Chateau, John-Peter D.', 'Chateau, J. -P. D.']"
JohnA. List,JohnA. List,['JohnA. List']
JohnE. Calfee,JohnE. Calfee,['JohnE. Calfee']
JohnP. Haisken-DeNew,JohnP. Haisken-DeNew,['JohnP. Haisken-DeNew']
JohnS. Earle,JohnS. Earle,['JohnS. Earle']
Johnny Kang,Johnny Kang,['Johnny Kang']
"Zetterberg, Johnny",Johnny Zetterberg,"['Zetterberg, Johnny']"
Johnson Mark R.,Johnson Mark R.,['Johnson Mark R.']
Johx H. Williams,Johx H. Williams,['Johx H. Williams']
"Dias, Joilson",Joilson Dias,"['Dias, Joilson']"
"Amara, Jomana",Jomana Amara,"['Amara, Jomana']"
Jomo K.S.,Jomo K.S.,['Jomo K.S.']
"Christopherson, Jon A",Jon A Christopherson,"['Christopherson, Jon A']"
"Fay, Jon A",Jon A Fay,"['Fay, Jon A']"
"Garfinkel, Jon A",Jon A Garfinkel,"['Garfinkel, Jon A', 'Garfinkel, Jon A.']"
"Breslaw, Jon A.",Jon A. Breslaw,"['Breslaw, Jon A.', 'Breslaw, Jon A']"
"Fulkerson, Jon A.",Jon A. Fulkerson,"['Fulkerson, Jon A.']"
Jon A. Krosnick,Jon A. Krosnick,['Jon A. Krosnick']
Jon A. Rasmussen,Jon A. Rasmussen,['Jon A. Rasmussen']
"Birkeli, Jon",Jon Birkeli,"['Birkeli, Jon']"
"Luke, Jon C",Jon C Luke,"['Luke, Jon C']"
"Thompson, Jon C.",Jon C. Thompson,"['Thompson, Jon C.']"
"Cauley, Jon",Jon Cauley,"['Cauley, Jon']"
Jon Cohen,Jon Cohen,"['Jon Cohen', 'Cohen, Jon S.', 'Cohen, Jon']"
"Harford, Jon D",Jon D Harford,"['Harford, Jon D', 'Harford, Jon D.']"
"Welland, Jon D",Jon D Welland,"['Welland, Jon D']"
Jon D. Haveman,Jon D. Haveman,['Jon D. Haveman']
"Kendall, Jon D.",Jon D. Kendall,"['Kendall, Jon D.']"
Jon Danielsson,Jon Danielsson,"['Jon Danielsson', 'Danielsson, Jon']"
Jon Eguia,Jon Eguia,"['Jon Eguia', 'Eguia, Jon X.']"
"Elster, Jon",Jon Elster,"['Elster, Jon', 'Jon Elster']"
Jon Faust,Jon Faust,"['Jon Faust', 'Faust, Jon']"
"Frye, Jon",Jon Frye,"['Frye, Jon']"
"Gruber, Jon",Jon Gruber,"['Gruber, Jon']"
"Fiva, Jon H.",Jon H. Fiva,"['Fiva, Jon H.']"
"Peck, Jon K",Jon K Peck,"['Peck, Jon K']"
Jon Ketcham,Jon Ketcham,['Jon Ketcham']
"Kleinberg, Jon",Jon Kleinberg,"['Kleinberg, Jon', 'Jon Kleinberg']"
"Joyce, Jon M",Jon M Joyce,"['Joyce, Jon M']"
Jon M. Bakija,Jon M. Bakija,['Jon M. Bakija']
Jon M. Conrad,Jon M. Conrad,"['Jon M. Conrad', 'Conrad, Jon M']"
"Harkness, Jon P",Jon P Harkness,"['Harkness, Jon P', 'Harkness, Jon']"
"Nelson, Jon P",Jon P Nelson,"['Nelson, Jon P', 'Nelson, Jon P.', 'Jon P. Nelson']"
"Miller, Jon R",Jon R Miller,"['Miller, Jon R']"
"Neill, Jon R.",Jon R. Neill,"['Neill, Jon R.']"
"Relleen, Jon",Jon Relleen,"['Relleen, Jon']"
"Sonstelie, Jon",Jon Sonstelie,"['Sonstelie, Jon']"
"Steinsson, Jon",Jon Steinsson,"['Steinsson, Jon']"
Jon Strand,Jon Strand,"['Jon Strand', 'Strand, Jon']"
"Innes, Jon T",Jon T Innes,"['Innes, Jon T']"
"Vilasuso, Jon",Jon Vilasuso,"['Vilasuso, Jon']"
"Salmon, Jon W",Jon W Salmon,"['Salmon, Jon W']"
Jon Wongswan,Jon Wongswan,"['Jon Wongswan', 'Wongswan, Jon']"
Jon Yan,Jon Yan,['Jon Yan']
Jona Linde,Jona Linde,['Jona Linde']
Jonah B. Gelbach,Jonah B. Gelbach,"['Jonah B. Gelbach', 'Gelbach, Jonah B.']"
Jonah E. Rockoff,Jonah E. Rockoff,"['Jonah E. Rockoff', 'Rockoff, Jonah E.', 'Jonah Rockoff']"
Jonas Agell,Jonas Agell,"['Jonas Agell', 'Agell, Jonas']"
Jonas D. M. Fisher,Jonas D. M. Fisher,"['Jonas D. M. Fisher', 'Fisher, Jonas D.M.', 'Jonas D.M. Fisher', 'Jonas Fisher', 'Fisher, Jonas D. M.']"
Jonas Dovern,Jonas Dovern,"['Jonas Dovern', 'Dovern, Jonas']"
"Arias, Jonas E.",Jonas E. Arias,"['Arias, Jonas E.']"
"Fooken, Jonas",Jonas Fooken,"['Fooken, Jonas']"
"Hackner, Jonas",Jonas Hackner,"['Hackner, Jonas']"
"Hedlund, Jonas",Jonas Hedlund,"['Hedlund, Jonas']"
"Lønborg, Jonas Helth",Jonas Helth Lønborg,"['Lønborg, Jonas Helth']"
Jonas Hjort,Jonas Hjort,['Jonas Hjort']
"Häckner, Jonas",Jonas Häckner,"['Häckner, Jonas']"
Jonas Kolsrud,Jonas Kolsrud,['Jonas Kolsrud']
"Nordstrom, Jonas",Jonas Nordstrom,"['Nordstrom, Jonas']"
Jonas Nycander,Jonas Nycander,['Jonas Nycander']
"Eriksen, Jonas Nygaard",Jonas Nygaard Eriksen,"['Eriksen, Jonas Nygaard']"
"Prager, Jonas",Jonas Prager,"['Prager, Jonas', 'Jonas Prager']"
"Vlachos, Jonas",Jonas Vlachos,"['Vlachos, Jonas', 'Jonas Vlachos']"
"Zeller, Jonas",Jonas Zeller,"['Zeller, Jonas']"
JonasD.M. Fisher,JonasD.M. Fisher,['JonasD.M. Fisher']
"Groba, Jonatan",Jonatan Groba,"['Groba, Jonatan']"
Jonathan A. Brown,Jonathan A. Brown,['Jonathan A. Brown']
Jonathan A. Parker,Jonathan A. Parker,"['Jonathan A. Parker', 'Parker, Jonathan A.']"
Jonathan A. Schwabish,Jonathan A. Schwabish,['Jonathan A. Schwabish']
"Scott, Jonathan A.",Jonathan A. Scott,"['Scott, Jonathan A.']"
"Baskin, Jonathan B",Jonathan B Baskin,"['Baskin, Jonathan B']"
"Berk, Jonathan B",Jonathan B Berk,"['Berk, Jonathan B', 'Jonathan B. Berk', 'Berk, Jonathan B.']"
Jonathan B. Baker,Jonathan B. Baker,['Jonathan B. Baker']
Jonathan B. Cohn,Jonathan B. Cohn,"['Jonathan B. Cohn', 'Cohn, Jonathan B.']"
"Hill, Jonathan B.",Jonathan B. Hill,"['Hill, Jonathan B.']"
Jonathan B. Taylor,Jonathan B. Taylor,['Jonathan B. Taylor']
"Bauchet, Jonathan",Jonathan Bauchet,"['Bauchet, Jonathan']"
"Brogaard, Jonathan",Jonathan Brogaard,"['Brogaard, Jonathan', 'Jonathan Brogaard']"
"Burton, Jonathan",Jonathan Burton,"['Burton, Jonathan']"
"Baldry, Jonathan C.",Jonathan C. Baldry,"['Baldry, Jonathan C.']"
"Cave, Jonathan",Jonathan Cave,"['Cave, Jonathan', 'Cave, Jonathan A K']"
"Chiu, Jonathan",Jonathan Chiu,"['Chiu, Jonathan', 'Jonathan Chiu']"
